event_id,rpki-all-oldcomer-unknown-roa,rpki-all-newcomer-unknown-roa,oldcomers-always-on-newcomer-originated-paths,rpki-some-oldcomer-unknown-roa,irr-RADB-all-newcomer-no-record,irr-RADB-all-oldcomer-exact-record,irr-LACNIC-all-newcomer-no-record,rpki-some-newcomer-unknown-roa,not-previously-announced-by-any-newcomer,all-newcomers-next-to-an-oldcomer,irr-LACNIC-all-oldcomer-no-record,hegemony-valley-paths,rpki-some-oldcomer-valid-roa,rpki-some-newcomer-invalid-roa,rpki-all-oldcomer-valid-roa,rpki-newcomer-invalid-roa-due-to-as,rpki-all-newcomer-invalid-roa,irr-RADB-all-oldcomer-no-record,irr-RADB-all-oldcomer-more-specific-record,all-victims-stub-ases,some-victims-stub-ases,oldcomer-path-prepending,previously-announced-by-some-newcomers,previously-announced-by-all-newcomers,rpki-some-newcomer-valid-roa,prefix-small-edit-distance,some-newcomers-are-rel-neighbor,some-newcomers-are-rel-upstream,some-newcomers-are-providers,irr-RADB-some-newcomer-exact-record,irr-RADB-some-newcomer-no-record,has-private-asn,some-newcomers-private-asn,some-newcomers-stub-ases,all-newcomers-stub-ases,newcomer-more-specific,newcomers-always-on-oldcomer-originated-paths,some-siblings,outdated-info,rpki-all-oldcomer-invalid-roa,rpki-oldcomer-invalid-roa-due-to-length,irr-LACNIC-all-oldcomer-more-specific-record,rpki-some-oldcomer-invalid-roa,irr-RADB-some-oldcomer-more-specific-record,rpki-oldcomer-invalid-roa-due-to-as,irr-LACNIC-some-oldcomer-more-specific-record,irr-RADB-some-oldcomer-no-record,irr-LACNIC-some-oldcomer-no-record,irr-RADB-some-oldcomer-exact-record,irr-NTTCOM-all-oldcomer-no-record,irr-RIPE-all-oldcomer-no-record,irr-APNIC-all-newcomer-no-record,irr-ARIN-all-newcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-TC-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-TC-all-newcomer-no-record,irr-APNIC-all-oldcomer-exact-record,irr-AFRINIC-all-oldcomer-no-record,irr-ARIN-all-oldcomer-no-record,irr-BELL-all-newcomer-no-record,irr-NTTCOM-all-newcomer-no-record,irr-REACH-all-newcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-BBOI-all-oldcomer-no-record,irr-LEVEL3-all-newcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-CANARIE-all-oldcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-ALTDB-all-newcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-JPIRR-all-oldcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,irr-OPENFACE-all-newcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-more-specific-record,irr-APNIC-all-oldcomer-no-record,irr-ARIN-all-oldcomer-more-specific-record,irr-ARIN-all-oldcomer-exact-record,irr-RIPE-all-oldcomer-exact-record,irr-TC-all-oldcomer-exact-record,irr-ALTDB-all-oldcomer-more-specific-record,irr-NTTCOM-all-oldcomer-more-specific-record,irr-TC-all-oldcomer-more-specific-record,irr-RIPE-all-oldcomer-more-specific-record,irr-APNIC-all-oldcomer-more-specific-record,single-Tier-1-upstream-on-subpaths-2-hops
moas-1584189900-268062_65535,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1585341900-10030_65535,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1592821200-45474_4657_65535,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1593694800-65535_9268,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1595275200-268062_65535,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1596718200-65530_65535_65540,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1597515300-262773_65535,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1598909100-262531_65535,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1601029500-63005_65535,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1601406300-134316_65535,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
