event_id,rpki-some-oldcomer-unknown-roa,not-previously-announced-by-any-newcomer,hegemony-valley-paths,all-origins-same-country,rpki-some-newcomer-unknown-roa,irr-LACNIC-all-newcomer-no-record,irr-RADB-all-newcomer-no-record,rpki-all-newcomer-unknown-roa,irr-LACNIC-all-oldcomer-no-record,irr-RADB-all-oldcomer-no-record,rpki-all-oldcomer-unknown-roa,prefix-small-edit-distance,oldcomer-path-prepending,some-victims-stub-ases,all-victims-stub-ases,irr-RADB-all-oldcomer-exact-record,rpki-all-newcomer-invalid-roa,rpki-all-oldcomer-invalid-roa,rpki-newcomer-invalid-roa-due-to-as,rpki-some-oldcomer-invalid-roa,rpki-some-newcomer-invalid-roa,rpki-oldcomer-invalid-roa-due-to-as,irr-RADB-all-newcomer-more-specific-record,oldcomers-always-on-newcomer-originated-paths,irr-RADB-all-newcomer-exact-record,rpki-some-oldcomer-valid-roa,rpki-all-oldcomer-valid-roa,newcomer-more-specific,all-newcomers-next-to-an-oldcomer,outdated-info,skipped-pfx-event,newcomers-always-on-oldcomer-originated-paths,irr-RADB-all-oldcomer-more-specific-record,has-private-asn,irr-RADB-some-oldcomer-exact-record,irr-RADB-some-oldcomer-more-specific-record,previously-announced-by-some-newcomers,previously-announced-by-all-newcomers,has-dps-asn,origin-small-edit-distance,irr-BELL-all-newcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-APNIC-all-oldcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,irr-ALTDB-all-newcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-BBOI-all-oldcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-AFRINIC-all-oldcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-ARIN-all-newcomer-no-record,irr-NTTCOM-all-newcomer-no-record,irr-REACH-all-newcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-NTTCOM-all-oldcomer-no-record,irr-RIPE-all-oldcomer-no-record,irr-LEVEL3-all-newcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-OPENFACE-all-newcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-APNIC-all-newcomer-no-record,irr-ARIN-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-TC-all-oldcomer-no-record,irr-JPIRR-all-oldcomer-no-record,irr-CANARIE-all-oldcomer-no-record,irr-TC-all-newcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-ALTDB-all-oldcomer-exact-record,irr-ARIN-all-oldcomer-exact-record,irr-NTTCOM-all-oldcomer-exact-record,irr-RIPE-NONAUTH-all-newcomer-more-specific-record,irr-APNIC-all-oldcomer-exact-record,irr-RADB-some-oldcomer-no-record,irr-ALTDB-all-oldcomer-more-specific-record,irr-RIPE-all-newcomer-exact-record
moas-1591419600-174_22773,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1592977200-174_17716,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1595803500-174_63426,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1597416300-174_6939,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1597821900-174_30090,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1598943900-174_30090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1599211200-174_61573,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1601983800-174_30090,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1602177900-174_26636,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1602512700-174_397659,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
